commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package passes - package memlib - object PassModuleName,4.0,1.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package passes - package memlib - object PassConfigUtil,20.0,1.0,21.0,0.0,0.0,23.0,23.0,1.0,0.041666666666666664,0.0,12.0,7.0,7.0,10.0,32.0,10.0,46.0,10.0,-0.0,1.0
HEAD,0,package passes - package memlib - class ReplSeqMemAnnotation,4.0,1.0,5.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package passes - package memlib - object ReplSeqMemAnnotation,14.0,1.0,14.0,1.0,0.0,32.0,22.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,7.0,5.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - class CIRCTOM,2.0,3.0,5.0,0.0,2.0,4.0,5.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - class CIRCTOMEvaluator,3.0,3.0,6.0,0.0,1.0,3.0,4.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package internal - class CIRCTOMEvaluatorValue,0.0,6.0,6.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - class CIRCTOMObject,2.0,3.0,5.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - trait SourceInfoDoc,0.0,18.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package decode - class DecodeTableAnnotation,6.0,2.0,8.0,4.0,1.0,7.0,7.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package core - trait IsInstantiable,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package core - object IsInstantiable,6.0,5.0,10.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package core - object IsInstantiable - class IsInstantiableExtensions,4.0,1.0,5.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package <empty> - package logger - package object logger,23.0,3.0,26.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package <empty> - package logger - package object logger - object LoggerOptionsView,21.0,1.0,22.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,15.0,6.0,6.0,11.0,14.0,8.0,16.0,4.0,-0.0,0.0
HEAD,0,package circt - class ClockGateIntrinsic,8.0,0.0,8.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package circt - object ClockGate,3.0,0.0,3.0,0.0,0.0,17.0,8.0,9.0,0.5294117647058824,0.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,0.0,-0.0,1.0
HEAD,0,package chisel3 - class EnumType,100.0,10.0,105.0,5.0,13.0,174.0,146.0,18.0,0.10975609756097561,2.0,125.0,61.0,8.0,20.0,49.0,30.0,32.0,10.0,-0.0,1.0
HEAD,0,package chisel3 - object ChiselEnum,6.0,4.0,10.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - object ChiselEnum - object CacheKey,4.0,2.0,6.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package chisel3 - class ChiselEnum,52.0,4.0,54.0,0.0,4.0,99.0,81.0,19.0,0.19,1.0,68.0,25.0,7.0,7.0,22.0,12.0,6.0,1.0,-0.0,1.0
HEAD,0,package chisel3 - class ChiselEnum - class Type,1.0,25.0,25.0,6.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
