commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package stream - class ZSink - method orElse,1.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method provideEnvironment,1.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method provideSomeEnvironment,1.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method provideLayer,1.0,0.0,4.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method provideSomeLayer,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package stream - class ZSink - method race,1.0,0.0,4.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method raceBoth,1.0,0.0,8.0,8.0,0.0,0.0,15.0,6.0,0.0,0.0,-0.0,0.0
HEAD,1,package stream - class ZSink - method raceWith,2.0,4.0,25.0,24.0,0.0,0.0,54.0,20.0,10.0,4.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method raceWith - method scoped,2.0,4.0,16.0,16.0,0.0,0.0,51.0,18.0,10.0,4.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method refineOrDie,1.0,0.0,4.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method refineOrDieWith,1.0,0.0,4.0,4.0,0.0,0.0,8.0,7.0,0.0,0.0,-0.0,0.0
HEAD,0,package stream - class ZSink - method timed,1.0,0.0,2.0,2.0,0.0,0.0,6.0,4.0,0.0,0.0,-0.0,1.0
