commit,faults,path,Switch count,Max stretch,Min stretch,Average stretch,parParadigmEntropyBool,parParadigmGiniBool,parParadigmEntropyCount,parParadigmGiniCount,parParadigmEntropyFraction,parParadigmGiniFraction
HEAD,0,package controller - trait AccountControllerBase - method validAccountName,0.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method validAccountName - <$anon: <error>> - method validate,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package controller - trait AccountControllerBase - method isGroupManager,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package util - trait OneselfAuthenticator - method oneselfOnly,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package util - trait OneselfAuthenticator - method oneselfOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait OneselfAuthenticator - method authenticate,0.0,4.0,4.0,4.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package util - trait OwnerAuthenticator - method ownerOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait OwnerAuthenticator - method ownerOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait OwnerAuthenticator - method authenticate,0.0,16.0,16.0,16.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait UsersAuthenticator - method usersOnly,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package util - trait UsersAuthenticator - method usersOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait UsersAuthenticator - method authenticate,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package util - trait AdminAuthenticator - method adminOnly,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package util - trait AdminAuthenticator - method adminOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait AdminAuthenticator - method authenticate,0.0,3.0,3.0,3.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package util - trait ReferrerAuthenticator - method referrersOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait ReferrerAuthenticator - method referrersOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,1,package util - trait ReferrerAuthenticator - method authenticate,0.0,9.0,9.0,9.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait ReadableUsersAuthenticator - method readableUsersOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait ReadableUsersAuthenticator - method readableUsersOnly,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait ReadableUsersAuthenticator - method authenticate,0.0,9.0,9.0,9.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait WritableUsersAuthenticator - method writableUsersOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait WritableUsersAuthenticator - method writableUsersOnly,0.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait WritableUsersAuthenticator - method authenticate,0.0,14.0,14.0,14.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package util - trait GroupManagerAuthenticator - method managersOnly,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package util - trait GroupManagerAuthenticator - method managersOnly,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,2,package util - trait GroupManagerAuthenticator - method authenticate,0.0,8.0,8.0,8.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package api - object ApiPersonIdent - method author,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package api - object ApiPersonIdent - method committer,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package controller - trait IndexControllerBase - method signin,0.0,14.0,14.0,14.0,-0.0,0.0,-0.0,0.0,-0.0,1.0
HEAD,0,package model - trait GroupMemberComponent - class GroupMembers - method *,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0
HEAD,0,package service - object WikiService - method wikiHttpUrl,1.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package service - object WikiService - method wikiSshUrl,1.0,1.0,1.0,1.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
HEAD,0,package service - trait WikiService - method createWikiRepository,0.0,13.0,13.0,13.0,-0.0,0.0,-0.0,0.0,-0.0,0.0
