commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmEntropyFraction,ParadigmGiniFraction
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Seq[Any]]>,18.0,0.0,18.0,1.0,2.0,14.0,14.0,0.0,0.0,0.0,10.0,8.0,4.0,10.0,5.0,4.0,9.0,2.0,-0.0,1.0
HEAD,1,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Map[String Any]]>,21.0,0.0,21.0,1.0,2.0,14.0,14.0,0.0,0.0,0.0,10.0,8.0,4.0,11.0,5.0,4.0,9.0,2.0,-0.0,1.0
HEAD,0,package util - object TypeCaster - <$anon: io.gatling.commons.util.TypeCaster[Any]>,5.0,0.0,5.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package util - object TypeHelper,18.0,3.0,21.0,0.0,0.0,20.0,18.0,0.0,0.0,0.0,14.0,9.0,2.0,0.0,5.0,5.0,0.0,0.0,-0.0,1.0
HEAD,1,package internal - object Expressions,70.0,25.0,95.0,0.0,0.0,75.0,70.0,4.0,0.05405405405405406,0.0,56.0,32.0,9.0,7.0,36.0,6.0,8.0,2.0,-0.0,0.0
HEAD,0,package engine - object HttpEngine,8.0,11.0,18.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,-0.0,1.0
HEAD,1,package engine - class HttpEngine,51.0,11.0,61.0,1.0,3.0,133.0,114.0,18.0,0.13636363636363635,0.0,44.0,19.0,6.0,6.0,47.0,24.0,10.0,1.0,-0.0,1.0
HEAD,1,package engine - class HttpEngine - method warmUp - <$anon: io.gatling.http.client.HttpListener>,5.0,0.0,5.0,1.0,3.0,8.0,8.0,0.0,0.0,0.0,5.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,-0.0,1.0
HEAD,0,package engine - object GatlingHttpListener,11.0,2.0,13.0,0.0,0.0,15.0,11.0,3.0,0.21428571428571427,0.0,4.0,3.0,2.0,0.0,4.0,3.0,0.0,0.0,-0.0,1.0
HEAD,1,package engine - class GatlingHttpListener,46.0,2.0,48.0,1.0,3.0,167.0,107.0,56.0,0.34355828220858897,0.0,38.0,21.0,6.0,3.0,14.0,14.0,10.0,1.0,-0.0,1.0
HEAD,0,package sse - class SseInvalidStatusException,3.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,0,package sse - class SseInvalidContentTypeException,3.0,1.0,4.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0
HEAD,1,package sse - class SseListener,12.0,4.0,15.0,1.0,2.0,43.0,42.0,0.0,0.0,0.0,13.0,14.0,6.0,6.0,14.0,8.0,5.0,0.0,-0.0,0.0
HEAD,0,package protocol - object HttpProtocolBuilder,8.0,6.0,13.0,1.0,0.0,5.0,6.0,0.0,0.0,0.0,5.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,-0.0,1.0
HEAD,1,package protocol - class HttpProtocolBuilder,60.0,6.0,66.0,2.0,45.0,172.0,162.0,7.0,0.04142011834319527,0.0,116.0,90.0,6.0,13.0,12.0,10.0,23.0,5.0,-0.0,1.0
